id,companyId,number,product,product_en,multiple,name,logo,product_img
52,15,"6","帽子","Cap",0,"Divya Pashmina Udyog","images/SME/Divya Pashmina Udyog/","images/SME/Divya Pashmina Udyog/6.jpg"
53,15,"7","成衣","Garments",0,"Divya Pashmina Udyog","images/SME/Divya Pashmina Udyog/","images/SME/Divya Pashmina Udyog/7.jpg"
54,16,"1","适用于婴儿儿童及母亲的头发护理产品","Skin & Hair care for Baby, Kid, Mom.",0,"BEBEBALM, INC.","images/SME/BEBEBALM, INC/","images/SME/BEBEBALM, INC/1.jpg"
55,16,"2","应对瘙痒的油","Oil for Itchy rash",0,"BEBEBALM, INC.","images/SME/BEBEBALM, INC/","images/SME/BEBEBALM, INC/2.jpg"
56,16,"3","有助于改善睡眠以及缓解压力的精油","Sleep and stress essential oils",0,"BEBEBALM, INC.","images/SME/BEBEBALM, INC/","images/SME/BEBEBALM, INC/3.jpg"
57,16,"4","洗发皂","Shampoo bar",0,"BEBEBALM, INC.","images/SME/BEBEBALM, INC/","images/SME/BEBEBALM, INC/4.jpg"
58,16,"5","用于快速缓解症状的深色薄荷膏","Deep mint rub for quick relief
",0,"BEBEBALM, INC.","images/SME/BEBEBALM, INC/","images/SME/BEBEBALM, INC/5.jpg"
59,17,"1","鞋履","Footware",0,"MAYO trading company ltd","images/SME/MAYO trading company ltd/","images/SME/MAYO trading company ltd/1.jpg"
60,17,"2","包袋
","Bags",0,"MAYO trading company ltd","images/SME/MAYO trading company ltd/","images/SME/MAYO trading company ltd/2.jpg"
61,17,"3"," 钱包","Wallets",0,"MAYO trading company ltd","images/SME/MAYO trading company ltd/","images/SME/MAYO trading company ltd/3.jpg"
62,17,"4","学童鞋履及皮革配饰","School shoes&leather accessories",0,"MAYO trading company ltd","images/SME/MAYO trading company ltd/","images/SME/MAYO trading company ltd/4.jpg"
63,18,"1","手工皂
","Handmade soap",0,"The Empress Kingdom","images/SME/The Empress Kingdom/","images/SME/The Empress Kingdom/1.jpg"
64,18,"2","糖蜡","Sugar wax",0,"The Empress Kingdom","images/SME/The Empress Kingdom/","images/SME/The Empress Kingdom/2.jpg"
65,18,"3","身体磨砂膏","Body scrubs",0,"The Empress Kingdom","images/SME/The Empress Kingdom/","images/SME/The Empress Kingdom/3.jpg"
66,18,"4","香水油","Perfume oil",0,"The Empress Kingdom","images/SME/The Empress Kingdom/","images/SME/The Empress Kingdom/4.jpg"
